Artist,Song,Song_ID,Surface,Tags,Lemma,Entity
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,ne,Qz,ne,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,laž,Ncfsn,laž,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Ako,Cs,ako,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,želiš,Vmr2s,željeti,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,moju,Ps1fsa,moj,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,ljubav,Ncfsa,ljubav,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Drugu,Mlofsa,drugi,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,igru,Ncfsa,igra,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,igraj,Vmm2s,igrati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,tad,Rgp,tad,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,Ničeg,Pi3n-g,ništa,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,nema,Vmr3s,nemati,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,osim,Sg,osim,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,nas,Pp1-pg,mi,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,To,Pd-nsn,taj,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,je,Var3s,biti,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,važno,Agpnsny,važan,O
Mate Miso Kovac,Ako srce mira nema,Zwn2Yv0K_3,znaj,Ncnsn,znati,O
Mate Miso Kovac,Balada o vremenu,Zwn2Yv0K_4,nan,Npmsn,nan,B-loc
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,Ostavljam,Vmr1s,ostavljati,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,te,Cc,te,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,opet,Rgp,opet,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,samu,Agpfsay,sam,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,odlazim,Vmr1s,odlaziti,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,u,Sa,u,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,noć,Ncfsa,noć,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,i,Cc,i,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,tamu,Ncfsa,tama,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,.,Z,.,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,Pozdravi,Ncmpn,pozdrav,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,me,Pp1-sa,ja,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,tvoji,Agpmsny,tvoj,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,prate,Vmr3p,pratiti,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,gdje,Rgp,gdje,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,su,Var3p,biti,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,zore,Ncfpn,zora,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,da,Cs,da,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,se,Px--sa,sebe,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,vrate,Vmr3p,vratiti,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,.,Z,.,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,Pozdravi,Ncmpn,pozdrav,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,me,Pp1-sa,ja,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,tvoji,Agpmsny,tvoj,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,prate,Vmr3p,pratiti,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,gdje,Rgp,gdje,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,su,Var3p,biti,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,zore,Ncfpn,zora,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,da,Cs,da,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,se,Px--sa,sebe,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,vrate,Vmr3p,vratiti,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,.,Z,.,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,Bez,Sg,bez,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,rastanka,Ncmsg,rastanak,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,suza,Ncfpg,suza,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,nema,Vmr3s,nemati,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,ja,Pp1-sn,ja,O
Mate Miso Kovac,Bez rastanka suza nema,Zwn2Yv0K_5,ih,Pp3-pa,oni,O
