lemma,upos,Artist_name,Song,Song_ID,Lyrics_url,Views
Julija,PROPN,Prljavo Kazalište,Ma kog me Boga za tebe pitaju,Xp4QBL1e_1_54,https://lyricstranslate.com/en/ma-kog-me-boga-za-tebe-pitaju-god%E2%80%99s-sake-why-do-they-ask-me-about-you.html,218222
Mario,PROPN,Prljavo Kazalište,Male stvari,Xp4QBL1e_1_55,"https://tekstovi.net/2,206,53757.html",3191
Marina,PROPN,Prljavo Kazalište,Marina,Xp4QBL1e_1_56,https://lyricstranslate.com/en/marina-marina.html-3,181888
Dunav,PROPN,Prljavo Kazalište,Marina,Xp4QBL1e_1_56,https://lyricstranslate.com/en/marina-marina.html-3,181888
Bog,PROPN,Prljavo Kazalište,Marina,Xp4QBL1e_1_56,https://lyricstranslate.com/en/marina-marina.html-3,181888
Hrvatska,PROPN,Prljavo Kazalište,Moj dom je Hrvatska,Xp4QBL1e_1_60,https://lyricstranslate.com/en/moj-dom-je-hrvatska-my-home-croatia.html,24576
Armija,PROPN,Prljavo Kazalište,Moja djevojka je otišla u Armiju,Xp4QBL1e_1_61,https://lyricstranslate.com/en/moja-djevojka-je-otisla-u-armiju-my-girl-has-gone-army.html,3946
Hrvatska,PROPN,Prljavo Kazalište,Ruža Hrvatska,Xp4QBL1e_1_62,https://lyricstranslate.com/en/ru%C5%BEa-hrvatska-my-mother.html-0,106903
Ružice,PROPN,Prljavo Kazalište,Ruža Hrvatska,Xp4QBL1e_1_62,https://lyricstranslate.com/en/ru%C5%BEa-hrvatska-my-mother.html-0,106903
Blaž,PROPN,Prljavo Kazalište,Na Badnje veče,Xp4QBL1e_1_66,https://lyricstranslate.com/en/Na-badnje-vece-christman-eve.html,301621
Michael,PROPN,Prljavo Kazalište,Na živce ide mi,Xp4QBL1e_1_68,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/na-zivce-ide-mi.html,27268
Jackson,PROPN,Prljavo Kazalište,Na živce ide mi,Xp4QBL1e_1_68,https://cuspajz.com//tekstovi-pjesama/pjesma/prljavo-kazaliste/na-zivce-ide-mi.html,27268
Bog,PROPN,Prljavo Kazalište,Nakon,Xp4QBL1e_1_69,"https://tekstovi.net/2,206,53639.html",2753
