Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Music By_discogs,Written-By_discogs,Choir_discogs,Producer_discogs,Arranged By_discogs,Trombone_discogs,Trumpet_discogs,Adapted By_discogs,Bagpipes_discogs,Flute [Dvojnica]_discogs,Guest_discogs,Vocals [Duet]_discogs,Backing Vocals_discogs,Featuring_discogs,Lead Vocals_discogs,Engineer_discogs,Performer_discogs,Guitar_discogs,Mixed By_discogs,Album_year_title_discogs,All_albums_discogs
Boris Novković,Boris Novković,Sve Nas Ljubav Spaja,3:51,,Sve Gubi Sjaj Bez Ljubavi,,,,,,,,,,,,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi
Boris Novković,Boris Novković,Oprosti Mi,4:18,,Sve Gubi Sjaj Bez Ljubavi,,,,,,,,,,,,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi
Boris Novković,Boris Novković,Ja Ću Ove Noći,3:44,,Sve Gubi Sjaj Bez Ljubavi,,,,,,,,,,,,,,,,,,,,,nan-Sve Gubi Sjaj Bez Ljubavi,nan-Sve Gubi Sjaj Bez Ljubavi
Boris Novković,Boris Novković,Prodala Me Ti,3:45,Boris Novković,Branim Se,,Boris Novković,,,,,,,,,,,,,,,,,,,nan-Branim Se,nan-Branim Se/nan-The Best Of... 1995 - 2003/nan-The Best Of.../2005.0-Zlatna Kolekcija/2008.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/nan-The Best Of Collection
Boris Novković,Boris Novković,Što Se Jja Večeras Spremam,3:23,Denis Dumančić,Branim Se,,Boris Novković,,,,,,,,,,,,,,,,,,,nan-Branim Se,nan-Branim Se
Boris Novković,Boris Novković,Neka Druga Su Vremena,3:34,Denis Dumančić,Branim Se,,Denis Dumančić,,,,,,,,,,,,,,,,,,,nan-Branim Se,nan-Branim Se
Boris Novković,Boris Novković,J.M.B.G. Broj,4:00,Denis Dumančić,Branim Se,,Denis Dumančić,,,,,,,,,,,,,,,,,,,nan-Branim Se,nan-Branim Se
Boris Novković,Boris Novković,Ne Mogu Da Ne Mislim Na Tebe,4:33,Boris Novković,Branim Se,,Boris Novković,,,,,,,,,,,,,,,,,,,nan-Branim Se,nan-Branim Se
Boris Novković,Boris Novković,Branim Se,4:42,Miroslav Pilj,Branim Se,,Boris Novković,,,,Boris Novković,,,,,,,,,,,,,,,nan-Branim Se,nan-Branim Se/nan-The Best Of... 1995 - 2003/nan-The Best Of.../2005.0-Zlatna Kolekcija/2005.0-LIVE Ostvaren San/2008.0-The Platinum Collection/nan-The Platinum Collection/nan-The Best Of Collection
Boris Novković,Boris Novković,Ja Te Sanjam,4:15,Boris Novković,Branim Se,,Boris Novković,,,,,,,,,,,,,,,,,,,nan-Branim Se,nan-Branim Se
Boris Novković,Boris Novković,Tugalica,3:30,Denis Dumančić,Branim Se,,Miro Buljan,,,,,,,,,,,,,,,,,,,nan-Branim Se,nan-Branim Se
Boris Novković,Boris Novković,Kockari,4:14,Denis Dumančić,Branim Se,,Denis Dumančić,,,,,,,,,,,,,,,,,,,nan-Branim Se,nan-Branim Se
Boris Novković,Boris Novković,Bilo Je Davno,4:09,Vjekoslava Huljić,Branim Se,,Tonči Huljić,,,,,,,,,,,,,,,,,,,nan-Branim Se,nan-Branim Se
Boris Novković,Boris Novković,U Tvome Tijelu,3:53,,Direkt,,,,,,,,,,,,,,,,,,,,,nan-Direkt,nan-Direkt
Boris Novković,Boris Novković,S Tobom Je Drugačije,4:04,,Direkt,,,,,,,,,,,,,,,,,,,,,nan-Direkt,nan-Direkt
Boris Novković,Boris Novković,Sve Je Manje Prijatelja,4:15,,Direkt,,,,,,,,,,,,,,,,,,,,,nan-Direkt,nan-Direkt
Boris Novković,Boris Novković,Pahulja Na Dlanu,4:05,,Direkt,,,,,,,,,,,,,,,,,,,,,nan-Direkt,nan-Direkt/2005.0-Zlatna Kolekcija/nan-The Platinum Collection
Boris Novković,Boris Novković,Poljubi Me,5:09,,Direkt,,,,,,,,,,,,,,,,,,,,,nan-Direkt,nan-Direkt
Boris Novković,Boris Novković,Čaša Vina,4:04,,Direkt,,,,,,,,,,,,,,,,,,,,,nan-Direkt,nan-Direkt
Boris Novković,Boris Novković,Prevara,4:22,,Direkt,,,,,,,,,,,,,,,,,,,,,nan-Direkt,nan-Direkt
Boris Novković,Boris Novković,Budi Tu,3:40,,Direkt,,,,,,,,,,,,Lana Klingor,,,,,,,,,nan-Direkt,nan-Direkt
Boris Novković,Boris Novković,Svaki Put,4:18,,Direkt,,,,,,,,,,,,,,,,,,,,,nan-Direkt,nan-Direkt
Boris Novković,Boris Novković,Gore Iznad Oblaka,3:59,,Direkt,,,,,,,,,,,,,,,,,,,,,nan-Direkt,nan-Direkt
Boris Novković,Boris Novković,Ljubav U Miljama,3:35,,Direkt,,,,,,,,,,,,,,,,,,,,,nan-Direkt,nan-Direkt
Boris Novković,Boris Novković,Osloni Se,5:07,Fayo,'Ko Je Kriv,,Boris Novković,,,,,,,,,,,,,,,,,,,nan-'Ko Je Kriv,nan-'Ko Je Kriv
