Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Adapted By_discogs,Arranged By_discogs,Album_title_discogs,Written-By_discogs,Lyrics By_discogs,Music By_discogs,Album_year_discogs,Adapted By [Music]_discogs,Lyrics By [dt.:]_discogs,Lyrics By [Yugoslavian]_discogs,Conductor_discogs,Orchestra_discogs,Strings_discogs,Vocals [Child]_discogs,Arranged By [Co-arranged]_discogs,Lyrics By [Co-written]_discogs,Featuring [Uncredited]_discogs,Musician_discogs,Vocals_discogs,Backing Vocals_discogs,Programmed By_discogs,Featuring_discogs,Album_year_title_discogs,All_albums_discogs
Novi Fosili,Novi Fosili,Tko Visoko Diže Nos,,,Stipica Kalogjera,Tko Visoko Diže Nos / Sanjaj Me,,Stjepan Benzon,Andrej Baša,,,,,Stipica Kalogjera,Studijski Orkestar Jugotona,,,,,,,,,,,nan-Tko Visoko Diže Nos / Sanjaj Me,nan-Tko Visoko Diže Nos / Sanjaj Me
Novi Fosili,Novi Fosili,Sanjaj Me,,,Rajko Dujmić,Tko Visoko Diže Nos / Sanjaj Me,,Dea Volarić,Rajko Dujmić,,,,,,,,,,,,,,,,,nan-Tko Visoko Diže Nos / Sanjaj Me,nan-Tko Visoko Diže Nos / Sanjaj Me/nan-Da Te Ne Volim/nan-Hitovi Sa Singl Ploča/1998.0-Ljubav Koja Nema Kraj Vol. 1 - Megahitovi 1977. - 1990./2002.0-Balade/nan-Za Dobra Stara Vremena/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/2011.0-Uvijek Blizu (Antologija 1969 - 2011)/2019.0-50 Originalnih Pjesama
Novi Fosili,Novi Fosili,Sama,,,,Sama,,,Rajko Dujmić,1978.0,,,,,,,,,,,,,,,,1978.0-Sama,1978.0-Sama/nan-Da Te Ne Volim
Novi Fosili,Novi Fosili,Kaži Mi Mama,,,Vladimir Kočiš,Sama,,,Vladimir Kočiš,1978.0,,,,,,,,,,,,,,,,1978.0-Sama,1978.0-Sama
Novi Fosili,Novi Fosili,Neka Vali Gingolaju Svoje Barke,,,,Neka Vali Gingolaju Svoje Barke / Lastavice Mala,Marko Demicheli,,,1978.0,,,,,,,,,,,,,,,,1978.0-Neka Vali Gingolaju Svoje Barke / Lastavice Mala,1978.0-Neka Vali Gingolaju Svoje Barke / Lastavice Mala/nan-Da Te Ne Volim/2011.0-Uvijek Blizu (Antologija 1969 - 2011)
Novi Fosili,Novi Fosili,Lastavice Mala,,,,Neka Vali Gingolaju Svoje Barke / Lastavice Mala,Zdenko Runjić,,,1978.0,,,,,,,,,,,,,,,,1978.0-Neka Vali Gingolaju Svoje Barke / Lastavice Mala,1978.0-Neka Vali Gingolaju Svoje Barke / Lastavice Mala/nan-Da Te Ne Volim
Novi Fosili,Novi Fosili,"Penezi, Penezi",2:46,,Nikica Kalogjera,"Penezi, Penezi / V Sitne Vure Peharček Svetli",,Zvonimir Kovačić (2),Nikica Kalogjera,1978.0,,,,,,,,,,,,,,,,"1978.0-Penezi, Penezi / V Sitne Vure Peharček Svetli","1978.0-Penezi, Penezi / V Sitne Vure Peharček Svetli"
Novi Fosili,Novi Fosili,V Sitne Vure Peharček Svetli,2:03,,Igor Savin,"Penezi, Penezi / V Sitne Vure Peharček Svetli",,Marija Štengl,Vilibald Čaklec,1978.0,,,,,,,,,,,,,,,,"1978.0-Penezi, Penezi / V Sitne Vure Peharček Svetli","1978.0-Penezi, Penezi / V Sitne Vure Peharček Svetli"
Novi Fosili,Novi Fosili,Da Te Ne Volim,,,Rajko Dujmić,Da Te Ne Volim / Kad Godine Prođu,,Dea Volarić,Rajko Dujmić,,,,,,,,,,,,,,,,,nan-Da Te Ne Volim / Kad Godine Prođu,nan-Da Te Ne Volim / Kad Godine Prođu/nan-Da Te Ne Volim/nan-Hitovi Sa Singl Ploča/1998.0-Ljubav Koja Nema Kraj Vol. 1 - Megahitovi 1977. - 1990./nan-Za Dobra Stara Vremena/2005.0-12 Originalnih Hitova/nan-Za Dobra Stara Vremena/nan-Za Dobra Stara Vremena 2005/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/2011.0-Uvijek Blizu (Antologija 1969 - 2011)/2013.0-The Best Of/2019.0-50 Originalnih Pjesama/0.0-Singl Kolekcija
Novi Fosili,Novi Fosili,Kad Godine Prođu,,,Rajko Dujmić,Da Te Ne Volim / Kad Godine Prođu,,Dea Volarić,Ivan Vanja Lisak,,,,,,,,,,,,,,,,,nan-Da Te Ne Volim / Kad Godine Prođu,nan-Da Te Ne Volim / Kad Godine Prođu/nan-Da Te Ne Volim
Novi Fosili,Novi Fosili,"Kaži Mi, Mama",3:00,,,Da Te Ne Volim,,,,,,,,,,,,,,,,,,,,nan-Da Te Ne Volim,nan-Da Te Ne Volim
Novi Fosili,Novi Fosili,Nikog Nema Da Mu Kažem,3:08,,,Da Te Ne Volim,,,,,,,,,,,,,,,,,,,,nan-Da Te Ne Volim,nan-Da Te Ne Volim/1979.0-Moj Svijet Bez Tebe / Nikog Nema Da Mu Kažem
Novi Fosili,Novi Fosili,Ne Plaši Se,3:40,,,Da Te Ne Volim,,Marija Radović-Ivasović,,,,,,,,,,,,,,,,,,nan-Da Te Ne Volim,nan-Da Te Ne Volim
Novi Fosili,Novi Fosili,"Reci Mi Tiho, Tiho",,,,"Reci Mi Tiho, Tiho / Sretan Praznik, Stara Moja",,Momčilo J. Popadić,Rajko Dujmić,1979.0,,,,,,,,,,,,,,,,"1979.0-Reci Mi Tiho, Tiho / Sretan Praznik, Stara Moja","1979.0-Reci Mi Tiho, Tiho / Sretan Praznik, Stara Moja/nan-Hitovi Sa Singl Ploča/1998.0-Ljubav Koja Nema Kraj Vol. 1 - Megahitovi 1977. - 1990./2002.0-Balade/2005.0-12 Originalnih Hitova/2006.0-The Platinum Collection/2011.0-Uvijek Blizu (Antologija 1969 - 2011)/2019.0-50 Originalnih Pjesama"
Novi Fosili,Novi Fosili,"Sretan Praznik, Stara Moja",,,,"Reci Mi Tiho, Tiho / Sretan Praznik, Stara Moja",,Jakša Fiamengo,Zdenko Runjić,1979.0,,,,,,,,,,,,,,,,"1979.0-Reci Mi Tiho, Tiho / Sretan Praznik, Stara Moja","1979.0-Reci Mi Tiho, Tiho / Sretan Praznik, Stara Moja"
Novi Fosili,Novi Fosili,"Ne Oplakuj Nas, Ljubavi",,,Rajko Dujmić,"Ne Oplakuj Nas, Ljubavi / Sklopi Oči",,Nena Labić,Zdenko Runjić,1979.0,,,,Ranko Rihtman,,,,,,,,,,,,"1979.0-Ne Oplakuj Nas, Ljubavi / Sklopi Oči","1979.0-Ne Oplakuj Nas, Ljubavi / Sklopi Oči"
Novi Fosili,Novi Fosili,Sklopi Oči,,,Radan Bosner,"Ne Oplakuj Nas, Ljubavi / Sklopi Oči",,Dea Volarić,Rajko Dujmić,1979.0,,,,Miljenko Prohaska,,,,,,,,,,,,"1979.0-Ne Oplakuj Nas, Ljubavi / Sklopi Oči","1979.0-Ne Oplakuj Nas, Ljubavi / Sklopi Oči/nan-Hitovi Sa Singl Ploča/2011.0-Uvijek Blizu (Antologija 1969 - 2011)/2019.0-50 Originalnih Pjesama"
Novi Fosili,Novi Fosili,Tajna,,,,Tajna / Ne Valja Ti To Što Činiš,,,,1979.0,,,,,,,,,,,,,,,,1979.0-Tajna / Ne Valja Ti To Što Činiš,1979.0-Tajna / Ne Valja Ti To Što Činiš/nan-Hitovi Sa Singl Ploča/2005.0-12 Originalnih Hitova/2011.0-Uvijek Blizu (Antologija 1969 - 2011)
Novi Fosili,Novi Fosili,Ne Valja Ti To Što Činiš,,,,Tajna / Ne Valja Ti To Što Činiš,,,,1979.0,,,,,,,,,,,,,,,,1979.0-Tajna / Ne Valja Ti To Što Činiš,1979.0-Tajna / Ne Valja Ti To Što Činiš/nan-Hitovi Sa Singl Ploča
Novi Fosili,Novi Fosili,Moj Svijet Bez Tebe,,,,Moj Svijet Bez Tebe / Nikog Nema Da Mu Kažem,,Nena Labić,Zdenko Runjić,1979.0,,,,,,,,,,,,,,,,1979.0-Moj Svijet Bez Tebe / Nikog Nema Da Mu Kažem,1979.0-Moj Svijet Bez Tebe / Nikog Nema Da Mu Kažem
Novi Fosili,Novi Fosili,Nikad Više Staro Vino,3:35,,,Nedovršene Priče,,Momčilo J. Popadić,,,,,,,,,,,,,,,,,,nan-Nedovršene Priče,nan-Nedovršene Priče/2011.0-Uvijek Blizu (Antologija 1969 - 2011)/2019.0-50 Originalnih Pjesama
Novi Fosili,Novi Fosili,Tako Je Malo Riječi Palo,3:26,,,Nedovršene Priče,,,,,,,,,,,,,,,,,,,,nan-Nedovršene Priče,nan-Nedovršene Priče/nan-Volim Te Od 9 Do 2 I Ostali Veliki Hitovi/1998.0-Ljubav Koja Nema Kraj Vol. 2 - Megahitovi 1977. - 1990./nan-Za Dobra Stara Vremena/2006.0-The Platinum Collection/2011.0-Uvijek Blizu (Antologija 1969 - 2011)/2019.0-50 Originalnih Pjesama
Novi Fosili,Novi Fosili,"Šuti, Moj Dječače Plavi",3:20,,,Nedovršene Priče,,,,,,,,,,,,,,,,,,,,nan-Nedovršene Priče,nan-Nedovršene Priče/nan-Volim Te Od 9 Do 2 I Ostali Veliki Hitovi/1998.0-Ljubav Koja Nema Kraj Vol. 1 - Megahitovi 1977. - 1990./nan-Za Dobra Stara Vremena/2011.0-Uvijek Blizu (Antologija 1969 - 2011)
Novi Fosili,Novi Fosili,Ti Si Moja Kiša Blaga,3:34,,,Nedovršene Priče,,Momčilo J. Popadić,,,,,,,,,,,,,,,,,,nan-Nedovršene Priče,nan-Nedovršene Priče/2011.0-Uvijek Blizu (Antologija 1969 - 2011)
Novi Fosili,Novi Fosili,Li-La-Lo,3:16,,,Nedovršene Priče,,Mario Mihaljević,,,,,,,,,,,,,,,,,,nan-Nedovršene Priče,nan-Nedovršene Priče
Novi Fosili,Novi Fosili,Najdraže Moje,3:40,,,Nedovršene Priče,,,,,,,,,,,,,,,,,,,,nan-Nedovršene Priče,nan-Nedovršene Priče/nan-Nemaš Više Vremena Za Mene / Najdraže Moje/nan-Volim Te Od 9 Do 2 I Ostali Veliki Hitovi/nan-Druge Godine/1998.0-Ljubav Koja Nema Kraj Vol. 2 - Megahitovi 1977. - 1990./2002.0-Balade/nan-Za Dobra Stara Vremena/2006.0-The Platinum Collection/2010.0-Najljepše Ljubavne Pjesme/2011.0-Uvijek Blizu (Antologija 1969 - 2011)/2019.0-50 Originalnih Pjesama
Novi Fosili,Novi Fosili,Zbogom,3:24,,Vladimir Kočiš,Nedovršene Priče,,,Vladimir Kočiš,,,,,,,,,,,,,,,,,nan-Nedovršene Priče,nan-Nedovršene Priče/nan-Volim Te Od 9 Do 2 I Ostali Veliki Hitovi/2011.0-Uvijek Blizu (Antologija 1969 - 2011)
Novi Fosili,Novi Fosili,Ja Nisam Taj,3:43,,,Nedovršene Priče,,Krsto Juras,,,,,,,,,,,,,,,,,,nan-Nedovršene Priče,nan-Nedovršene Priče
Novi Fosili,Novi Fosili,Gotovo Je S Nama,3:07,,Vladimir Kočiš,Nedovršene Priče,,Mile Rupčić,Vladimir Kočiš,,,,,,,,,,,,,,,,,nan-Nedovršene Priče,nan-Nedovršene Priče
Novi Fosili,Novi Fosili,Kraj Ljubavi,3:24,,,Nedovršene Priče,,,,,,,,,,,,,,,,,,,,nan-Nedovršene Priče,nan-Nedovršene Priče/2011.0-Uvijek Blizu (Antologija 1969 - 2011)
