Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Lyrics By_discogs,Album_title_discogs,Album_year_discogs,Arranged By_discogs,Music By_discogs,Written-By_discogs,Guest_discogs,Composed By_discogs,Vocals [Duet]_discogs,Featuring_discogs,Vocals_discogs,Album_year_title_discogs,All_albums_discogs
Mladen Grdović,Mladen Grdović,"Mix F - Zadre, Grade",,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,"Zadre, Grade",,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,Za Sva Vrimena,,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova/2007.0-Zlatna Kolekcija/2014.0-50 Originalnih Pjesama
Mladen Grdović,Mladen Grdović,Za Sva Vrimena (Originalna Verzija),,,Za Sva Vrimena - Mix Hitova,,,,,,,,,,nan-Za Sva Vrimena - Mix Hitova,nan-Za Sva Vrimena - Mix Hitova
Mladen Grdović,Mladen Grdović,Vitar Nek Puše,4:20,,Vitar Nek Puše,,,,,,,,,,nan-Vitar Nek Puše,nan-Vitar Nek Puše/nan-Največi Hitovi Dalmacije/2008.0-Pisme Za Dušu/2010.0-Evo Mene Moji Ljudi
Mladen Grdović,Mladen Grdović,Mali Sam Čovik,4:23,,Vitar Nek Puše,,,,,,,,,,nan-Vitar Nek Puše,nan-Vitar Nek Puše/2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,"Sedam Dana, Sedam Noći",4:00,,Vitar Nek Puše,,,,,,,,,,nan-Vitar Nek Puše,nan-Vitar Nek Puše/2007.0-Zlatna Kolekcija/2008.0-Pisme Za Dušu
Mladen Grdović,Mladen Grdović,Grdelina Dva,4:04,,Vitar Nek Puše,,,,,,,,,,nan-Vitar Nek Puše,nan-Vitar Nek Puše/2004.0-Hitovi 1/2008.0-Pisme Za Dušu/2009.0-Evo Mene Moji Ljudi! (Koncert)/2010.0-Evo Mene Moji Ljudi/2015.0-Orange Collection
Mladen Grdović,Mladen Grdović,Mama Marija,3:00,,Vitar Nek Puše,,,,,,,,,,nan-Vitar Nek Puše,nan-Vitar Nek Puše/2004.0-Hitovi 1/2007.0-Zlatna Kolekcija/2008.0-Pisme Za Dušu
Mladen Grdović,Mladen Grdović,U Ranu Zoru,4:04,,Vitar Nek Puše,,,,,,,,,,nan-Vitar Nek Puše,nan-Vitar Nek Puše/nan-Največi Hitovi Dalmacije/2007.0-Zlatna Kolekcija/2008.0-Pisme Za Dušu
Mladen Grdović,Mladen Grdović,Od Kad Sam Se S Tobom Razdilija,3:48,,Vitar Nek Puše,,,,,,,,,,nan-Vitar Nek Puše,nan-Vitar Nek Puše
Mladen Grdović,Mladen Grdović,Adio Svi Moji Ljudi,3:06,,Vitar Nek Puše,,,,,,,,,,nan-Vitar Nek Puše,nan-Vitar Nek Puše/2007.0-Zlatna Kolekcija
Mladen Grdović,Mladen Grdović,Maria Bella Istriana,3:39,Andrej Baša,Vitar Nek Puše,,,Andrej Baša,,,,,,,nan-Vitar Nek Puše,nan-Vitar Nek Puše
Mladen Grdović,Mladen Grdović,Bolje Živim Nego Ministar,4:28,,Vitar Nek Puše,,,,,,,,,,nan-Vitar Nek Puše,nan-Vitar Nek Puše/nan-Največi Hitovi Dalmacije/2007.0-Zlatna Kolekcija/2008.0-Pisme Za Dušu/2009.0-Evo Mene Moji Ljudi! (Koncert)/2010.0-Evo Mene Moji Ljudi/2015.0-Orange Collection
