Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Vocals [Duet]_discogs,Lyrics By_discogs,Album_year_discogs,Featuring_discogs,Written-By_discogs,Music By_discogs,Vocals_discogs,Written By_discogs,Lyrics By [Co-written]_discogs,Arranged By_discogs,Album_year_title_discogs,All_albums_discogs
Goran Karan,Goran Karan,Partenca ( Ay Ay Ay ),,Hitovi,,,2011.0,,,,,,,,2011.0-Hitovi,2011.0-Hitovi
Goran Karan,Goran Karan,Tu Non Llores Mi Querdira Feat.Oliver Dragojević,,Hitovi,,,2011.0,,,,,,,,2011.0-Hitovi,2011.0-Hitovi
Goran Karan,Goran Karan,Od Ljubavi San Duša Ranjena,,Hitovi,,,2011.0,,,,,,,,2011.0-Hitovi,2011.0-Hitovi
Goran Karan,Goran Karan,Kada Jesen Dođe Feat.Jelena Radan,,Hitovi,,,2011.0,,,,,,,,2011.0-Hitovi,2011.0-Hitovi
Goran Karan,Goran Karan,Bolero Feat.Zrinka,,Hitovi,,,2011.0,,,,,,,,2011.0-Hitovi,2011.0-Hitovi
Goran Karan,Goran Karan,To Je Drugo Lice Ljubavi Feat.Kemal Monteno,,Hitovi,,,2011.0,,,,,,,,2011.0-Hitovi,2011.0-Hitovi
Goran Karan,Goran Karan,Kako Da Te Zaboravim,,Hitovi,,,2011.0,,,,,,,,2011.0-Hitovi,2011.0-Hitovi
Goran Karan,Goran Karan,Ahoj! Lipi Galebe Moj Feat. Žan Jakopač,,Hitovi,,,2011.0,,,,,,,,2011.0-Hitovi,2011.0-Hitovi
Goran Karan,Goran Karan,Vitre Moj ,,Melodie Znad Adriatyku,,,2012.0,,,,,,,,2012.0-Melodie Znad Adriatyku,2012.0-Melodie Znad Adriatyku
Goran Karan,Goran Karan,O Sole Mio,,Melodie Znad Adriatyku,,,2012.0,,,,,,,,2012.0-Melodie Znad Adriatyku,2012.0-Melodie Znad Adriatyku/2020.0-Jedna Noć U Zagrebu
Goran Karan,Goran Karan,Kad Ti Srce Ne Piva ,,Melodie Znad Adriatyku,,,2012.0,,,,,,,,2012.0-Melodie Znad Adriatyku,2012.0-Melodie Znad Adriatyku
Goran Karan,Goran Karan,Partenca,,Melodie Znad Adriatyku,,,2012.0,,,,,,,,2012.0-Melodie Znad Adriatyku,2012.0-Melodie Znad Adriatyku
Goran Karan,Goran Karan,Ja Sam Samo Vagabudno ,,Melodie Znad Adriatyku,,,2012.0,,,,,,,,2012.0-Melodie Znad Adriatyku,2012.0-Melodie Znad Adriatyku
Goran Karan,Goran Karan,Nase Malo Misto,,Melodie Znad Adriatyku,,,2012.0,,,,,,,,2012.0-Melodie Znad Adriatyku,2012.0-Melodie Znad Adriatyku
Goran Karan,Goran Karan,Kada Zaspu Andeli (Ostani) (Pokochaj Mnie),,Melodie Znad Adriatyku,,,2012.0,,,,,,,,2012.0-Melodie Znad Adriatyku,2012.0-Melodie Znad Adriatyku
Goran Karan,Goran Karan,Amigos Para Siempre,,Melodie Znad Adriatyku,,,2012.0,,,,,,,,2012.0-Melodie Znad Adriatyku,2012.0-Melodie Znad Adriatyku
Goran Karan,Goran Karan,Nina Badrić - Hitovi,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Dodiri Od Stakla,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Da Se Opet Tebi Vratim,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Čarobno Jutro,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Nek Ti Bude Kao Meni,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Ja Za Ljubav Neću Moliti,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,I'm So Excited,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Takvi Kao Ti,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa/2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Još I Sad,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Ako Kažeš Da Me Ne Voliš,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Ja Sam Vlak,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Godine Nestvarne,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Ostavljam Ti Sve,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
Goran Karan,Goran Karan,Budi Tu,,Komplet 4 CDa,,,2013.0,,,,,,,,2013.0-Komplet 4 CDa,2013.0-Komplet 4 CDa
