Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Piano_discogs,Producer_discogs,Panpipes [Sikus]_discogs,Remix_discogs,Arranged By_discogs,Lyrics By [Co-written]_discogs,Lyrics By_discogs,Music By_discogs,Voice [Dracula]_discogs,DJ Mix_discogs,Guitar_discogs,Featuring_discogs,Vocals [Duet With]_discogs,Engineer_discogs,Instruments [Additional]_discogs,Vocals [French]_discogs,Featuring [Rap]_discogs,Backing Vocals_discogs,Tamburitza [Brač_discogs,Bugarija_discogs,Prim]_discogs,Arranged By [Tambura]_discogs,Vocals_discogs,Saxophone_discogs,Guest_discogs,Album_year_title_discogs,All_albums_discogs
Colonia,Colonia,Svijet Voli Pobjednike,3:54,Milijun Milja Od Nigdje,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Milijun Milja Od Nigdje,nan-Milijun Milja Od Nigdje/nan-Oduzimaš Mi Dah (The Best Of...)/nan-The Best Of Volume 1/nan-Izgubljeni Svijet/2003.0-The Best Of/2005.0-Gold Edition/2005.0-The Best Of/nan-Best Of/2008.0-The Platinum Collection/2011.0-Gold Edition/2013.0-Komplet 4 CDa/2014.0-The Best Of Collection/0.0-The Best Of
Colonia,Colonia,Nikad Više,4:02,Milijun Milja Od Nigdje,,,,,,,,,,,,,,Jacques Houdek,,,,,,,,,,,,,nan-Milijun Milja Od Nigdje,nan-Milijun Milja Od Nigdje/nan-Oduzimaš Mi Dah (The Best Of...)/2003.0-The Best Of/2005.0-Gold Edition/nan-Best Of/2008.0-The Platinum Collection/2011.0-Gold Edition/2013.0-Komplet 4 CDa/2014.0-The Best Of Collection
Colonia,Colonia,Rendezvous,3:58,Milijun Milja Od Nigdje,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Milijun Milja Od Nigdje,nan-Milijun Milja Od Nigdje
Colonia,Colonia,Takvi Kao Ti,4:10,Milijun Milja Od Nigdje,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Milijun Milja Od Nigdje,nan-Milijun Milja Od Nigdje/2003.0-The Best Of/2005.0-Gold Edition/2005.0-The Best Of/nan-Best Of/2008.0-The Platinum Collection/2011.0-Gold Edition/2013.0-Komplet 4 CDa/2013.0-Komplet 4 CDa
Colonia,Colonia,No Puedo Mas Sin Ti,3:44,Milijun Milja Od Nigdje,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Milijun Milja Od Nigdje,nan-Milijun Milja Od Nigdje/nan-Oduzimaš Mi Dah (The Best Of...)/2003.0-The Best Of/2014.0-The Best Of Collection
Colonia,Colonia,Sjene,5:23,Milijun Milja Od Nigdje,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Milijun Milja Od Nigdje,nan-Milijun Milja Od Nigdje/2003.0-The Best Of
Colonia,Colonia,Prvi I Zadnji,3:48,Milijun Milja Od Nigdje,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Milijun Milja Od Nigdje,nan-Milijun Milja Od Nigdje/2003.0-The Best Of/2005.0-The Best Of
Colonia,Colonia,Nevjera,4:17,Milijun Milja Od Nigdje,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Milijun Milja Od Nigdje,nan-Milijun Milja Od Nigdje/2003.0-The Best Of/2005.0-Gold Edition/2011.0-Gold Edition/2013.0-Komplet 4 CDa/2014.0-The Best Of Collection
Colonia,Colonia,Još Jednom Za Kraj,5:14,Milijun Milja Od Nigdje,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Milijun Milja Od Nigdje,nan-Milijun Milja Od Nigdje/nan-Oduzimaš Mi Dah (The Best Of...)/2003.0-The Best Of/2014.0-The Best Of Collection
Colonia,Colonia,Kiša Vjetar Oluja,3:18,Milijun Milja Od Nigdje,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Milijun Milja Od Nigdje,nan-Milijun Milja Od Nigdje
Colonia,Colonia,Milijun Milja Od Nigdje,4:18,Milijun Milja Od Nigdje,,,,,,,,,,,,,,,,,,,,,,,,,,,nan-Milijun Milja Od Nigdje,nan-Milijun Milja Od Nigdje/nan-Oduzimaš Mi Dah (The Best Of...)/2003.0-The Best Of/nan-Best Of/2008.0-The Platinum Collection
Colonia,Colonia,Svjetla Grada (Album Mix),4:41,Svjetla Grada,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Svjetla Grada,2002.0-Svjetla Grada
Colonia,Colonia,Svjetla Grada (DJ Hot Jay Vs. Cash Club Rmx),5:00,Svjetla Grada,2002.0,,,,Hot Jay Vs. Cash,,,,,,,,,,,,,,,,,,,,,,2002.0-Svjetla Grada,2002.0-Svjetla Grada
Colonia,Colonia,Svjetla Grada (Tom Y & Ice Simony Rmx),5:33,Svjetla Grada,2002.0,,,,Tom Yonke,,,,,,,,,,,,,,,,,,,,,,2002.0-Svjetla Grada,2002.0-Svjetla Grada
Colonia,Colonia,Svjetla Grada (Mr. Melody Lightman Club Mix),5:43,Svjetla Grada,2002.0,,,,Mr. Melody Lightman,,,,,,,,,,,,,,,,,,,,,,2002.0-Svjetla Grada,2002.0-Svjetla Grada
Colonia,Colonia,Izgubljeni Svijet,4:21,Svjetla Grada,2002.0,,,,,,,,,,,,,,,,,,,,,,,,,,2002.0-Svjetla Grada,2002.0-Svjetla Grada/nan-Izgubljeni Svijet/2003.0-The Best Of
