Artist,Artist_discogs,Song_discogs,Song_duration_discogs,Album_title_discogs,Album_year_discogs,Lyrics By [English]_discogs,Piano [Solo]_discogs,Written-By_discogs,Lyrics By_discogs,Arranged By [Co-arranged]_discogs,Music By_discogs,Arranged By_discogs,Producer_discogs,Guitar_discogs,Programmed By_discogs,Keyboards_discogs,Film Director [Video Directed By]_discogs,Featuring_discogs,Vocals [Duet]_discogs,Album_year_title_discogs,All_albums_discogs
Danijela Martinović,Danijela Martinović,Crno Pa Se Ne Vidi,4:03,Gold Collection (Volume 02),2002.0,,,,Ljilja Jorgovanović,,Željko Joksimović,Željko Joksimović,,,,,,,,2002.0-Gold Collection (Volume 02),2002.0-Gold Collection (Volume 02)
Danijela Martinović,Danijela Martinović,Po Mom Srcu Hodaj,4:31,Gold Collection (Volume 02),2002.0,,,,Aleksandra Milutinović,,Nihad Petonjić,Nihad Petonjić,,,,,,,,2002.0-Gold Collection (Volume 02),2002.0-Gold Collection (Volume 02)
Danijela Martinović,Danijela Martinović,Uteha,3:26,Gold Collection (Volume 02),2002.0,,,,Leontina,,Leontina,Zoran Radetić,,,,,,,,2002.0-Gold Collection (Volume 02),2002.0-Gold Collection (Volume 02)
Danijela Martinović,Danijela Martinović,Tiha Noć,3:07,Božić S Danijelom,2003.0,,,,,,,,,,,,,,,2003.0-Božić S Danijelom,2003.0-Božić S Danijelom/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Veseli Se Majko Božja,2:47,Božić S Danijelom,2003.0,,,,,,,,,,,,,,,2003.0-Božić S Danijelom,2003.0-Božić S Danijelom
Danijela Martinović,Danijela Martinović,Radujte Se Narodi,3:05,Božić S Danijelom,2003.0,,,,,,,,,,,,,,,2003.0-Božić S Danijelom,2003.0-Božić S Danijelom
Danijela Martinović,Danijela Martinović,Djetešce Nam Se Rodilo,2:59,Božić S Danijelom,2003.0,,,,,,,,,,,,,,,2003.0-Božić S Danijelom,2003.0-Božić S Danijelom
Danijela Martinović,Danijela Martinović,Svim Na Zemlji,2:56,Božić S Danijelom,2003.0,,,,,,,,,,,,,,,2003.0-Božić S Danijelom,2003.0-Božić S Danijelom
Danijela Martinović,Danijela Martinović,Bijeli Božić,2:56,Božić S Danijelom,2003.0,,,,,,,,,,,,,,,2003.0-Božić S Danijelom,2003.0-Božić S Danijelom
Danijela Martinović,Danijela Martinović,Kyrie Eleison,3:00,Božić S Danijelom,2003.0,,,,,,,,,,,,,,,2003.0-Božić S Danijelom,2003.0-Božić S Danijelom
Danijela Martinović,Danijela Martinović,Tri Kralja Jahahu,3:21,Božić S Danijelom,2003.0,,,,,,,,,,,,,,,2003.0-Božić S Danijelom,2003.0-Božić S Danijelom
Danijela Martinović,Danijela Martinović,Veselje Ti Navješćujem,3:31,Božić S Danijelom,2003.0,,,,,,,,,,,,,,,2003.0-Božić S Danijelom,2003.0-Božić S Danijelom
Danijela Martinović,Danijela Martinović,U Sve Vrijeme Godišta,3:37,Božić S Danijelom,2003.0,,,,,,,,,,,,,,,2003.0-Božić S Danijelom,2003.0-Božić S Danijelom
Danijela Martinović,Danijela Martinović,Narodi Nam Se,2:59,Božić S Danijelom,2003.0,,,,,,,,,,,,,,,2003.0-Božić S Danijelom,2003.0-Božić S Danijelom
Danijela Martinović,Danijela Martinović,Gdje Mi Je Pamet Bila,3:15,Gdje Mi Je Pamet Bila,2004.0,,,,,,,,,,,,,,,2004.0-Gdje Mi Je Pamet Bila,2004.0-Gdje Mi Je Pamet Bila/nan-Oaza/nan-Oaza/2006.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Gdje Mi Je Pamet Bila (Instrumental),3:15,Gdje Mi Je Pamet Bila,2004.0,,,,,,,,,,,,,,,2004.0-Gdje Mi Je Pamet Bila,2004.0-Gdje Mi Je Pamet Bila
Danijela Martinović,Danijela Martinović,Jedno Te Molim,3:34,Oaza,,,,,Fayo,,Franjo Valentić,Franjo Valentić,Franjo Valentić,Boris Duginovački - Zamba,Franjo Valentić,Franjo Valentić,,,,nan-Oaza,nan-Oaza/2006.0-Zlatna Kolekcija/2014.0-The Best Of Collection/2016.0-50 Originalnih Pjesama
Danijela Martinović,Danijela Martinović,Još Te Volim,3:25,Oaza,,,,,Zrinko Tutić,,Rajko Dujmić,,,,,,,,,nan-Oaza,nan-Oaza/2006.0-Zlatna Kolekcija/2010.0-Najljepše Ljubavne Pjesme/2016.0-50 Originalnih Pjesama
